Date,Hour,Demand
1/11/2017,17,987
1/11/2017,18,783
1/11/2017,19,259
1/11/2017,20,172
1/11/2017,21,152
1/11/2017,22,124
1/11/2017,23,78
1/12/2017,0,30
1/12/2017,1,14
1/12/2017,2,4
1/12/2017,3,5
1/12/2017,4,9
1/12/2017,5,54
1/12/2017,6,237
1/12/2017,7,663
1/12/2017,8,1078
1/12/2017,9,473
1/12/2017,10,234
1/12/2017,11,279
1/12/2017,12,366
1/12/2017,13,391
1/12/2017,14,362
1/12/2017,15,495
1/12/2017,16,682
1/12/2017,17,1170
1/12/2017,18,967
1/12/2017,19,596
1/12/2017,20,389
1/12/2017,21,301
1/12/2017,22,181
1/12/2017,23,111
1/13/2017,0,60
1/13/2017,1,43
1/13/2017,2,13
1/13/2017,3,4
1/13/2017,4,10
1/13/2017,5,67
1/13/2017,6,194
1/13/2017,7,603
1/13/2017,8,1054
1/13/2017,9,505
1/13/2017,10,243
1/13/2017,11,301
1/13/2017,12,384
1/13/2017,13,407
1/13/2017,14,432
1/13/2017,15,487
1/13/2017,16,687
1/13/2017,17,898
1/13/2017,18,635
1/13/2017,19,409
1/13/2017,20,197
1/13/2017,21,169
1/13/2017,22,138
1/13/2017,23,91
1/14/2017,0,64
1/14/2017,1,55
1/14/2017,2,37
1/14/2017,3,12
1/14/2017,4,4
1/14/2017,5,5
1/14/2017,6,21
1/14/2017,7,44
1/14/2017,8,75
1/14/2017,9,125
1/14/2017,10,144
1/14/2017,11,175
1/14/2017,12,135
1/14/2017,13,103
1/14/2017,14,145
1/14/2017,15,202
1/14/2017,16,113
1/14/2017,17,76
1/14/2017,18,63
1/14/2017,19,51
1/14/2017,20,42
1/14/2017,21,54
1/14/2017,22,57
1/14/2017,23,62
1/15/2017,0,52
1/15/2017,1,35
1/15/2017,2,22
1/15/2017,3,13
1/15/2017,4,6
1/15/2017,5,7
1/15/2017,6,15
1/15/2017,7,38
1/15/2017,8,94
1/15/2017,9,202
1/15/2017,10,351
1/15/2017,11,405
1/15/2017,12,519
1/15/2017,13,643
1/15/2017,14,577
1/15/2017,15,615
1/15/2017,16,521
1/15/2017,17,351
1/15/2017,18,260
1/15/2017,19,166
1/15/2017,20,164
1/15/2017,21,130
1/15/2017,22,95
1/15/2017,23,67
1/16/2017,0,43
1/16/2017,1,26
1/16/2017,2,9
1/16/2017,3,13
1/16/2017,4,4
1/16/2017,5,14
1/16/2017,6,40
1/16/2017,7,111
1/16/2017,8,200
1/16/2017,9,220
1/16/2017,10,243
1/16/2017,11,330
1/16/2017,12,377
1/16/2017,13,345
1/16/2017,14,390
1/16/2017,15,375
1/16/2017,16,382
1/16/2017,17,375
1/16/2017,18,341
1/16/2017,19,222
1/16/2017,20,177
1/16/2017,21,119
1/16/2017,22,103
1/16/2017,23,26
1/17/2017,0,16
1/17/2017,1,8
1/17/2017,2,7
1/17/2017,4,9
1/17/2017,5,66
1/17/2017,6,228
1/17/2017,7,552
1/17/2017,8,870
1/17/2017,9,283
1/17/2017,10,56
1/17/2017,11,139
1/17/2017,12,190
